,econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle,lrgen,lrecon,galtan,party_id,party_id,party_id,party_id
192,8.0,9.0,4.0,3.0,6.0,4.0,5.0,6.0,5.0,2004.0,2004.0,2004.0,2004.0
193,,,,,10.0,,,,8.0,2017.0,2017.0,2017.0,2017.0
194,,,,10.0,10.0,10.0,10.0,4.0,10.0,2014.0,2014.0,2014.0,2014.0
195,,,,10.0,10.0,10.0,10.0,4.0,10.0,2007.0,2007.0,2007.0,2007.0
196,,,,10.0,10.0,10.0,10.0,4.0,10.0,2005.0,2005.0,2005.0,2005.0
197,6.0,6.0,5.0,2.0,6.0,1.0,5.0,,1.0,2018.0,2018.0,2018.0,2018.0
198,9.0,9.0,7.0,5.0,9.0,8.0,8.0,9.0,9.0,2008.0,2008.0,2008.0,2008.0
199,,,,,,,,,,2019.0,2019.0,2019.0,2019.0
200,5.0,5.0,5.0,5.0,4.0,3.0,7.0,6.0,5.0,2010.0,2010.0,2010.0,2010.0
201,3.0,,7.0,,5.0,6.0,6.0,3.0,7.0,2003.0,2003.0,2003.0,2003.0
202,5.0,,,4.0,2.0,3.0,5.0,5.0,5.0,2004.0,2004.0,2004.0,2004.0
203,3.0,,6.0,9.0,7.0,10.0,6.0,3.0,9.0,2017.0,2017.0,2017.0,2017.0
204,3.0,,6.0,9.0,8.0,10.0,7.0,3.0,10.0,2014.0,2014.0,2014.0,2014.0
205,,,,9.0,9.0,10.0,9.0,,10.0,2007.0,2007.0,2007.0,2007.0
206,,,,9.0,7.0,10.0,7.0,3.0,10.0,2005.0,2005.0,2005.0,2005.0
207,5.0,5.0,5.0,1.0,1.0,1.0,6.0,5.0,0.0,2018.0,2018.0,2018.0,2018.0
208,8.0,5.0,2.0,1.0,1.0,1.0,7.0,6.0,1.0,2008.0,2008.0,2008.0,2008.0
209,,,,,,,,,,2019.0,2019.0,2019.0,2019.0
210,7.0,8.0,4.0,5.0,10.0,6.0,8.0,4.0,7.0,3101.0,3101.0,3101.0,3101.0
211,2.0,7.0,2.0,2.0,10.0,2.0,4.0,3.0,2.0,3102.0,3102.0,3102.0,3102.0
212,2.0,5.0,4.0,7.0,10.0,9.0,8.0,7.0,10.0,3115.0,3115.0,3115.0,3115.0
213,7.0,9.0,6.0,0.0,8.0,1.0,5.0,8.0,3.0,3105.0,3105.0,3105.0,3105.0
214,1.0,3.0,1.0,5.0,10.0,6.0,7.0,2.0,7.0,3103.0,3103.0,3103.0,3103.0
215,7.0,8.0,6.0,2.0,8.0,2.0,7.0,8.0,6.0,3104.0,3104.0,3104.0,3104.0
216,5.0,,0.0,9.0,,6.0,6.0,2.0,7.0,3108.0,3108.0,3108.0,3108.0
217,,,0.0,0.0,,,3.0,2.0,5.0,3110.0,3110.0,3110.0,3110.0
218,1.0,8.0,1.0,7.0,10.0,8.0,10.0,3.0,10.0,3107.0,3107.0,3107.0,3107.0
219,,,0.0,0.0,,,,2.0,2.0,3116.0,3116.0,3116.0,3116.0
220,3.0,6.0,0.0,3.0,7.0,2.0,6.0,3.0,7.0,3117.0,3117.0,3117.0,3117.0
221,8.0,8.0,7.0,0.0,7.0,1.0,3.0,7.0,1.0,3118.0,3118.0,3118.0,3118.0
222,2.0,3.0,4.0,0.0,7.0,1.0,4.0,7.0,1.0,3106.0,3106.0,3106.0,3106.0
223,,,,10.0,,10.0,10.0,3.0,10.0,3119.0,3119.0,3119.0,3119.0
224,4.0,6.0,4.0,6.0,6.0,7.0,6.0,5.0,6.0,3101.0,3101.0,3101.0,3101.0
225,4.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,3102.0,3102.0,3102.0,3102.0
226,5.0,4.0,3.0,7.0,8.0,9.0,8.0,6.0,9.0,3115.0,3115.0,3115.0,3115.0
227,6.0,7.0,6.0,4.0,5.0,3.0,4.0,5.0,4.0,3105.0,3105.0,3105.0,3105.0
228,,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3103.0,3103.0,3103.0,3103.0
229,7.0,7.0,6.0,4.0,5.0,4.0,6.0,8.0,5.0,3104.0,3104.0,3104.0,3104.0
230,3.0,,3.0,6.0,5.0,,5.0,2.0,,3108.0,3108.0,3108.0,3108.0
231,3.0,,4.0,3.0,4.0,3.0,5.0,,5.0,3110.0,3110.0,3110.0,3110.0
232,3.0,5.0,,6.0,8.0,8.0,8.0,,8.0,3107.0,3107.0,3107.0,3107.0
233,4.0,3.0,1.0,4.0,6.0,4.0,2.0,1.0,4.0,3116.0,3116.0,3116.0,3116.0
234,5.0,6.0,3.0,6.0,5.0,6.0,5.0,,5.0,3117.0,3117.0,3117.0,3117.0
235,7.0,7.0,6.0,5.0,5.0,4.0,4.0,8.0,4.0,3118.0,3118.0,3118.0,3118.0
236,6.0,5.0,5.0,3.0,4.0,3.0,2.0,6.0,3.0,3106.0,3106.0,3106.0,3106.0
237,3.0,4.0,,8.0,8.0,9.0,9.0,,9.0,3119.0,3119.0,3119.0,3119.0
238,,,,,,5.0,8.0,5.0,8.0,3101.0,3101.0,3101.0,3101.0
239,,,,,,0.0,4.0,5.0,0.0,3102.0,3102.0,3102.0,3102.0
240,,,,,,,6.0,,8.0,3115.0,3115.0,3115.0,3115.0
241,,,,,,0.0,5.0,5.0,0.0,3105.0,3105.0,3105.0,3105.0
242,,,,,,,5.0,,5.0,3103.0,3103.0,3103.0,3103.0
243,,,,,,,5.0,7.0,,3104.0,3104.0,3104.0,3104.0
244,,,,,,,,,,3108.0,3108.0,3108.0,3108.0
245,,,,,,0.0,4.0,,,3110.0,3110.0,3110.0,3110.0
246,,,,,,,,,,3107.0,3107.0,3107.0,3107.0
247,,,,,,,,,,3116.0,3116.0,3116.0,3116.0
248,,,,,,,,,,3117.0,3117.0,3117.0,3117.0
249,,,,,,,,,,3118.0,3118.0,3118.0,3118.0
250,,,,,,0.0,4.0,,0.0,3106.0,3106.0,3106.0,3106.0
251,,,,,,10.0,9.0,,10.0,3119.0,3119.0,3119.0,3119.0
252,6.0,7.0,5.0,6.0,5.0,5.0,7.0,6.0,7.0,3101.0,3101.0,3101.0,3101.0
253,4.0,6.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,3102.0,3102.0,3102.0,3102.0
254,6.0,7.0,5.0,7.0,6.0,8.0,7.0,6.0,7.0,3115.0,3115.0,3115.0,3115.0
255,7.0,6.0,7.0,3.0,3.0,2.0,3.0,8.0,2.0,3105.0,3105.0,3105.0,3105.0
