,econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle
289,8.0,6.0,9.0,10.0,1.0,10.0
290,3.0,9.0,5.0,7.0,4.0,4.0
291,5.0,2.0,0.0,0.0,2.0,5.0
292,2.0,0.0,0.0,0.0,2.0,2.0
294,3.0,5.0,3.0,0.0,10.0,5.0
295,6.0,3.0,8.0,7.0,7.0,3.0
296,4.0,2.0,5.0,6.0,6.0,5.0
297,6.0,2.0,4.0,2.0,3.0,0.0
299,5.0,0.0,5.0,3.0,4.0,0.0
300,10.0,0.0,0.0,3.0,0.0,7.0
301,6.0,7.0,7.0,3.0,8.0,0.0
302,4.0,2.0,5.0,2.0,3.0,0.0
304,8.0,4.0,6.0,5.0,7.0,10.0
305,5.0,5.0,4.0,5.0,5.0,0.0
306,5.0,5.0,5.0,4.0,5.0,5.0
307,5.0,3.0,6.0,3.0,4.0,9.0
308,5.0,1.0,6.0,2.0,8.0,9.0
309,4.0,2.0,4.0,2.0,4.0,2.0
310,2.0,2.0,2.0,5.0,6.0,0.0
311,5.0,0.0,8.0,10.0,0.0,10.0
313,8.0,2.0,7.0,5.0,5.0,0.0
314,5.0,7.0,6.0,6.0,5.0,6.0
315,0.0,1.0,0.0,2.0,3.0,3.0
316,7.0,6.0,3.0,6.0,8.0,10.0
317,5.0,1.0,4.0,5.0,5.0,0.0
318,5.0,1.0,0.0,5.0,9.0,5.0
320,6.0,5.0,4.0,3.0,10.0,0.0
321,8.0,10.0,10.0,7.0,10.0,0.0
322,5.0,7.0,5.0,7.0,3.0,5.0
323,2.0,3.0,2.0,5.0,7.0,5.0
324,5.0,3.0,2.0,6.0,5.0,10.0
325,10.0,8.0,8.0,1.0,0.0,8.0
326,8.0,3.0,4.0,6.0,5.0,1.0
327,10.0,0.0,5.0,5.0,6.0,0.0
328,10.0,5.0,0.0,0.0,10.0,0.0
329,5.0,0.0,5.0,3.0,2.0,3.0
331,7.0,0.0,8.0,1.0,10.0,0.0
332,3.0,2.0,2.0,5.0,8.0,4.0
333,5.0,3.0,10.0,3.0,2.0,6.0
334,6.0,6.0,5.0,3.0,8.0,6.0
335,5.0,4.0,10.0,0.0,8.0,6.0
337,6.0,0.0,3.0,3.0,0.0,0.0
338,0.0,0.0,0.0,0.0,2.0,0.0
339,5.0,4.0,3.0,0.0,10.0,7.0
340,3.0,0.0,3.0,8.0,9.0,0.0
341,10.0,2.0,2.0,10.0,10.0,0.0
342,5.0,1.0,1.0,1.0,6.0,0.0
343,7.0,1.0,0.0,5.0,0.0,5.0
344,6.0,2.0,4.0,3.0,5.0,0.0
345,5.0,7.0,7.0,3.0,10.0,10.0
346,10.0,10.0,10.0,5.0,10.0,5.0
347,8.0,4.0,4.0,5.0,7.0,5.0
348,8.0,1.0,7.0,10.0,9.0,9.0
349,0.0,0.0,0.0,0.0,10.0,10.0
351,3.0,2.0,8.0,7.0,5.0,0.0
352,6.0,2.0,3.0,4.0,7.0,6.0
354,3.0,6.0,3.0,8.0,3.0,6.0
355,7.0,2.0,6.0,1.0,7.0,6.0
356,5.0,0.0,3.0,5.0,5.0,0.0
357,7.0,4.0,5.0,4.0,8.0,2.0
358,10.0,3.0,4.0,9.0,1.0,8.0
359,2.0,0.0,2.0,5.0,3.0,0.0
360,2.0,1.0,5.0,5.0,10.0,0.0
361,8.0,4.0,7.0,6.0,10.0,0.0
362,9.0,6.0,9.0,5.0,1.0,2.0
363,5.0,3.0,3.0,2.0,6.0,0.0
364,4.0,0.0,3.0,3.0,2.0,1.0
365,3.0,2.0,0.0,0.0,10.0,0.0
366,5.0,0.0,3.0,3.0,4.0,0.0
367,8.0,4.0,7.0,8.0,1.0,8.0
369,10.0,6.0,5.0,0.0,0.0,10.0
370,6.0,1.0,3.0,1.0,6.0,0.0
371,6.0,4.0,6.0,0.0,1.0,0.0
372,8.0,3.0,8.0,2.0,6.0,10.0
374,10.0,0.0,4.0,0.0,9.0,5.0
375,4.0,1.0,2.0,2.0,2.0,0.0
376,7.0,0.0,0.0,8.0,5.0,0.0
377,7.0,0.0,4.0,6.0,0.0,10.0
378,6.0,1.0,6.0,2.0,4.0,9.0
379,4.0,7.0,3.0,6.0,3.0,7.0
380,8.0,2.0,5.0,8.0,5.0,0.0
381,5.0,5.0,3.0,6.0,9.0,0.0
382,9.0,5.0,6.0,0.0,2.0,0.0
383,7.0,4.0,2.0,2.0,9.0,0.0
384,10.0,1.0,5.0,0.0,9.0,10.0
385,10.0,10.0,10.0,6.0,0.0,10.0
386,5.0,2.0,6.0,3.0,1.0,0.0
387,7.0,5.0,3.0,6.0,8.0,8.0
388,8.0,9.0,9.0,10.0,5.0,2.0
389,5.0,5.0,6.0,6.0,7.0,5.0
390,10.0,6.0,10.0,0.0,10.0,7.0
391,7.0,4.0,5.0,5.0,3.0,1.0
392,3.0,2.0,5.0,5.0,4.0,10.0
393,3.0,0.0,2.0,3.0,3.0,1.0
394,7.0,3.0,7.0,10.0,10.0,9.0
395,3.0,5.0,2.0,4.0,8.0,6.0
396,10.0,5.0,1.0,0.0,0.0,0.0
397,5.0,3.0,0.0,3.0,0.0,8.0
398,10.0,0.0,8.0,0.0,10.0,10.0
399,2.0,6.0,3.0,8.0,4.0,2.0
400,1.0,0.0,0.0,3.0,3.0,0.0
401,4.0,3.0,1.0,3.0,5.0,7.0
402,6.0,2.0,4.0,2.0,8.0,4.0
403,10.0,1.0,10.0,5.0,7.0,2.0
404,8.0,0.0,3.0,2.0,0.0,5.0
405,2.0,5.0,10.0,2.0,10.0,10.0
406,7.0,2.0,3.0,6.0,10.0,8.0
407,6.0,1.0,4.0,2.0,3.0,8.0
408,10.0,1.0,10.0,7.0,3.0,10.0
410,4.0,5.0,4.0,6.0,1.0,7.0
411,1.0,0.0,3.0,5.0,5.0,0.0
412,7.0,3.0,6.0,6.0,1.0,10.0
413,3.0,0.0,3.0,0.0,3.0,0.0
414,2.0,0.0,7.0,2.0,9.0,4.0
415,6.0,2.0,6.0,7.0,6.0,8.0
416,8.0,0.0,0.0,10.0,10.0,0.0
417,5.0,4.0,5.0,7.0,4.0,7.0
418,8.0,1.0,4.0,6.0,0.0,10.0
419,4.0,5.0,4.0,4.0,3.0,8.0
420,5.0,4.0,5.0,5.0,7.0,6.0
421,10.0,0.0,0.0,0.0,0.0,0.0
423,8.0,0.0,0.0,5.0,0.0,10.0
424,2.0,0.0,5.0,10.0,10.0,3.0
425,4.0,3.0,2.0,3.0,4.0,0.0
426,7.0,5.0,5.0,3.0,2.0,5.0
427,5.0,0.0,1.0,0.0,10.0,0.0
429,5.0,2.0,2.0,5.0,5.0,0.0
430,10.0,1.0,8.0,5.0,2.0,1.0
431,5.0,5.0,0.0,5.0,5.0,0.0
432,10.0,1.0,8.0,7.0,6.0,0.0
433,4.0,6.0,5.0,5.0,5.0,4.0
435,7.0,4.0,5.0,6.0,3.0,7.0
436,9.0,3.0,7.0,5.0,10.0,10.0
437,3.0,0.0,3.0,4.0,0.0,0.0
439,5.0,2.0,2.0,3.0,7.0,1.0
441,5.0,0.0,2.0,2.0,8.0,0.0
444,5.0,2.0,5.0,9.0,0.0,0.0
445,5.0,0.0,0.0,10.0,10.0,0.0
446,0.0,5.0,0.0,5.0,5.0,5.0
448,8.0,2.0,3.0,0.0,0.0,0.0
449,2.0,0.0,5.0,7.0,0.0,10.0
450,3.0,1.0,3.0,3.0,3.0,0.0
452,5.0,5.0,5.0,5.0,5.0,5.0
453,6.0,3.0,5.0,3.0,0.0,8.0
454,8.0,5.0,10.0,8.0,10.0,7.0
456,8.0,6.0,6.0,6.0,6.0,0.0
458,9.0,0.0,5.0,2.0,3.0,0.0
459,5.0,8.0,10.0,10.0,10.0,9.0
460,3.0,3.0,0.0,0.0,0.0,0.0
461,4.0,3.0,2.0,6.0,4.0,1.0
462,5.0,4.0,3.0,3.0,5.0,4.0
463,5.0,3.0,4.0,8.0,10.0,5.0
465,3.0,4.0,5.0,2.0,6.0,0.0
466,8.0,3.0,0.0,0.0,7.0,0.0
467,3.0,5.0,10.0,10.0,10.0,0.0
468,5.0,3.0,5.0,2.0,9.0,5.0
469,5.0,4.0,4.0,5.0,6.0,7.0
470,6.0,3.0,7.0,7.0,7.0,2.0
471,3.0,0.0,6.0,0.0,8.0,0.0
472,5.0,5.0,0.0,5.0,0.0,5.0
473,8.0,0.0,10.0,6.0,0.0,4.0
474,5.0,4.0,4.0,5.0,5.0,3.0
475,5.0,1.0,5.0,5.0,5.0,0.0
476,5.0,2.0,0.0,5.0,0.0,5.0
477,5.0,1.0,2.0,8.0,8.0,1.0
479,6.0,0.0,6.0,10.0,4.0,0.0
480,5.0,5.0,3.0,1.0,5.0,0.0
482,7.0,2.0,7.0,4.0,5.0,3.0
484,8.0,2.0,2.0,4.0,5.0,8.0
485,5.0,0.0,4.0,0.0,10.0,0.0
486,5.0,5.0,5.0,5.0,0.0,10.0
488,5.0,1.0,10.0,10.0,5.0,7.0
489,4.0,0.0,0.0,0.0,3.0,4.0
490,7.0,2.0,4.0,7.0,3.0,8.0
491,7.0,4.0,7.0,2.0,1.0,10.0
492,7.0,0.0,0.0,3.0,5.0,0.0
493,3.0,0.0,0.0,0.0,10.0,0.0
494,3.0,0.0,3.0,7.0,6.0,0.0
495,4.0,0.0,10.0,4.0,0.0,0.0
497,8.0,5.0,7.0,6.0,6.0,5.0
498,6.0,0.0,7.0,8.0,10.0,6.0
499,7.0,1.0,2.0,4.0,5.0,0.0
500,3.0,3.0,0.0,5.0,10.0,10.0
501,5.0,5.0,5.0,3.0,5.0,2.0
502,5.0,5.0,5.0,5.0,5.0,5.0
504,7.0,3.0,6.0,6.0,2.0,4.0
505,9.0,2.0,0.0,0.0,10.0,0.0
506,5.0,3.0,3.0,4.0,4.0,0.0
507,5.0,5.0,2.0,5.0,1.0,6.0
508,7.0,2.0,4.0,8.0,1.0,9.0
509,5.0,5.0,7.0,9.0,10.0,9.0
510,10.0,0.0,8.0,5.0,10.0,0.0
511,5.0,6.0,7.0,3.0,10.0,2.0
512,7.0,2.0,5.0,3.0,6.0,2.0
513,5.0,5.0,5.0,5.0,10.0,1.0
514,7.0,7.0,4.0,6.0,3.0,3.0
516,6.0,4.0,3.0,5.0,5.0,5.0
517,3.0,2.0,10.0,10.0,7.0,0.0
518,7.0,6.0,2.0,6.0,9.0,5.0
519,5.0,1.0,2.0,8.0,8.0,3.0
521,3.0,2.0,1.0,1.0,5.0,0.0
522,3.0,1.0,3.0,2.0,4.0,6.0
524,6.0,1.0,4.0,6.0,7.0,9.0
525,10.0,9.0,5.0,10.0,3.0,7.0
526,5.0,1.0,2.0,3.0,7.0,0.0
530,7.0,3.0,3.0,5.0,7.0,2.0
531,7.0,3.0,3.0,1.0,2.0,0.0
532,7.0,2.0,0.0,2.0,0.0,0.0
534,10.0,7.0,10.0,6.0,10.0,5.0
535,10.0,0.0,0.0,0.0,8.0,10.0
536,8.0,5.0,7.0,10.0,9.0,10.0
537,8.0,0.0,4.0,3.0,4.0,3.0
538,8.0,8.0,3.0,6.0,2.0,0.0
539,5.0,0.0,3.0,0.0,3.0,0.0
540,5.0,8.0,7.0,5.0,5.0,0.0
541,4.0,0.0,3.0,3.0,8.0,1.0
542,2.0,0.0,0.0,3.0,2.0,0.0
543,5.0,0.0,0.0,0.0,0.0,0.0
544,5.0,0.0,3.0,4.0,5.0,4.0
546,4.0,5.0,4.0,5.0,5.0,4.0
547,3.0,4.0,0.0,5.0,7.0,3.0
