,econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle,lrgen_factor,lrecon_factor,galtan_factor,party_id,party_id,party_id
223,4,1,3,10,10,10,10,3,10,3119.0,3119.0,3119.0
224,4,6,4,6,6,7,6,5,6,3101.0,3101.0,3101.0
225,4,5,5,5,4,3,3,4,3,3102.0,3102.0,3102.0
226,5,4,3,7,8,9,8,6,9,3115.0,3115.0,3115.0
227,6,7,6,4,5,3,4,5,4,3105.0,3105.0,3105.0
228,5,4,4,5,5,5,5,4,5,3103.0,3103.0,3103.0
229,7,7,6,4,5,4,6,8,5,3104.0,3104.0,3104.0
230,3,3,3,6,5,2,5,2,4,3108.0,3108.0,3108.0
231,3,3,4,3,4,3,5,4,5,3110.0,3110.0,3110.0
232,3,5,4,6,8,8,8,7,8,3107.0,3107.0,3107.0
233,4,3,1,4,6,4,2,1,4,3116.0,3116.0,3116.0
234,5,6,3,6,5,6,5,5,5,3117.0,3117.0,3117.0
235,7,7,6,5,5,4,4,8,4,3118.0,3118.0,3118.0
236,6,5,5,3,4,3,2,6,3,3106.0,3106.0,3106.0
237,3,4,3,8,8,9,9,5,9,3119.0,3119.0,3119.0
238,6,6,8,8,3,5,8,5,8,3101.0,3101.0,3101.0
239,5,5,5,3,2,0,4,5,0,3102.0,3102.0,3102.0
240,7,5,5,3,5,4,6,7,8,3115.0,3115.0,3115.0
241,5,0,4,1,1,0,5,5,0,3105.0,3105.0,3105.0
242,6,6,7,10,10,10,5,3,5,3103.0,3103.0,3103.0
243,2,8,2,7,9,5,5,7,5,3104.0,3104.0,3104.0
244,1,6,1,8,10,9,8,1,9,3108.0,3108.0,3108.0
245,1,2,1,7,0,0,4,3,1,3110.0,3110.0,3110.0
246,9,8,7,9,10,9,9,8,9,3107.0,3107.0,3107.0
247,1,3,1,4,5,3,2,2,3,3116.0,3116.0,3116.0
248,7,4,7,7,5,3,8,7,0,3117.0,3117.0,3117.0
249,3,8,6,5,7,7,0,2,7,3118.0,3118.0,3118.0
250,6,1,7,3,3,0,4,7,0,3106.0,3106.0,3106.0
251,7,5,7,9,8,10,9,8,10,3119.0,3119.0,3119.0
252,6,7,5,6,5,5,7,6,7,3101.0,3101.0,3101.0
253,4,6,4,4,3,2,3,4,2,3102.0,3102.0,3102.0
254,6,7,5,7,6,8,7,6,7,3115.0,3115.0,3115.0
255,7,6,7,3,3,2,3,8,2,3105.0,3105.0,3105.0
256,6,5,6,6,7,5,6,6,6,3103.0,3103.0,3103.0
257,7,6,7,3,3,4,7,9,3,3104.0,3104.0,3104.0
258,0,10,1,9,10,10,10,1,8,3108.0,3108.0,3108.0
259,3,4,3,3,3,2,2,3,2,3110.0,3110.0,3110.0
260,7,10,7,7,8,7,8,8,7,3107.0,3107.0,3107.0
261,6,4,5,6,6,8,7,6,7,3116.0,3116.0,3116.0
262,4,5,4,6,7,7,6,6,7,3117.0,3117.0,3117.0
263,7,7,7,4,7,4,6,8,5,3118.0,3118.0,3118.0
264,6,6,7,4,4,2,4,8,2,3106.0,3106.0,3106.0
265,8,9,8,7,10,9,9,7,9,3119.0,3119.0,3119.0
266,3,6,4,8,7,8,7,5,7,3101.0,3101.0,3101.0
267,3,4,2,2,3,1,3,3,1,3102.0,3102.0,3102.0
268,4,4,5,9,9,10,9,7,10,3115.0,3115.0,3115.0
269,5,7,6,4,5,2,5,7,2,3105.0,3105.0,3105.0
270,4,3,4,4,6,3,5,4,4,3103.0,3103.0,3103.0
271,6,7,7,5,7,2,6,8,4,3104.0,3104.0,3104.0
272,3,2,4,2,5,4,5,4,5,3108.0,3108.0,3108.0
273,4,5,4,4,4,3,4,3,4,3110.0,3110.0,3110.0
274,4,4,5,9,8,7,9,5,9,3107.0,3107.0,3107.0
275,3,2,3,2,4,3,4,4,5,3116.0,3116.0,3116.0
276,3,8,3,5,7,4,5,2,5,3117.0,3117.0,3117.0
277,5,8,7,4,4,3,6,7,5,3118.0,3118.0,3118.0
278,4,5,7,3,4,1,5,6,3,3106.0,3106.0,3106.0
279,7,10,5,9,10,10,10,7,10,3119.0,3119.0,3119.0
280,3,6,5,5,6,5,8,4,6,3101.0,3101.0,3101.0
